               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  71,            0.033853,            0.033824,           0.0057015,             0.67058,             0.65194,             0.65808,             0.39119,            0.026943,            0.028946,           0.0074499,             0.00769,             0.00769,             0.00769
                  72,            0.034229,            0.031545,           0.0054782,             0.66416,             0.64975,             0.66282,             0.39284,            0.027843,             0.02911,           0.0080417,            0.007657,            0.007657,            0.007657
                  73,            0.033894,            0.032117,           0.0049122,             0.64637,             0.68693,             0.70062,             0.41802,            0.027967,             0.03041,           0.0068261,            0.007624,            0.007624,            0.007624
                  74,            0.032792,            0.031117,           0.0052544,             0.69668,             0.59633,              0.6331,             0.36375,            0.031077,            0.031487,            0.008822,            0.007591,            0.007591,            0.007591
                  75,            0.033526,            0.033615,           0.0049036,             0.71623,             0.63902,              0.6962,             0.42945,            0.026958,            0.029629,           0.0068941,            0.007558,            0.007558,            0.007558
                  76,            0.033932,            0.031954,           0.0048232,             0.76852,             0.63884,             0.69729,               0.429,            0.027787,            0.028978,           0.0064339,            0.007525,            0.007525,            0.007525
                  77,            0.033123,            0.032359,           0.0053603,             0.77112,             0.61551,             0.67788,             0.41272,             0.02705,            0.028714,           0.0072933,            0.007492,            0.007492,            0.007492
                  78,             0.03331,            0.031917,           0.0046647,             0.77991,             0.65113,             0.70168,             0.39942,            0.030286,            0.029284,           0.0065912,            0.007459,            0.007459,            0.007459
                  79,             0.03348,            0.030899,           0.0052439,             0.71135,             0.73118,             0.73297,             0.45372,            0.026493,            0.029092,           0.0056646,            0.007426,            0.007426,            0.007426
                  80,            0.031331,            0.031956,            0.004955,             0.62626,             0.71056,             0.70292,             0.42092,            0.027171,             0.02965,           0.0072342,            0.007393,            0.007393,            0.007393
                  81,            0.031864,            0.031823,           0.0050111,             0.64008,             0.70195,             0.70901,             0.41495,            0.026575,            0.029138,           0.0064708,             0.00736,             0.00736,             0.00736
                  82,            0.032499,            0.031699,           0.0044763,              0.8113,             0.63281,              0.7236,              0.4257,            0.026857,            0.028339,           0.0065655,            0.007327,            0.007327,            0.007327
                  83,            0.031959,            0.031421,           0.0046778,             0.73173,              0.6262,              0.6802,             0.40573,            0.026244,            0.028352,           0.0074695,            0.007294,            0.007294,            0.007294
                  84,            0.031351,            0.031027,           0.0045769,             0.64614,             0.66832,             0.67336,              0.4029,            0.026581,            0.028559,            0.007644,            0.007261,            0.007261,            0.007261
                  85,            0.032197,            0.030662,           0.0043822,             0.75497,             0.61773,             0.67598,              0.4095,            0.027393,            0.028657,           0.0074222,            0.007228,            0.007228,            0.007228
                  86,            0.031795,            0.033059,           0.0039545,             0.75081,             0.70858,             0.74588,             0.45804,            0.026685,            0.028342,            0.006507,            0.007195,            0.007195,            0.007195
                  87,            0.032033,            0.032485,           0.0044901,             0.69014,             0.73277,             0.73479,              0.4551,            0.026874,            0.028643,           0.0058896,            0.007162,            0.007162,            0.007162
                  88,            0.032372,            0.029856,           0.0042431,             0.88032,             0.58205,             0.68112,             0.42066,            0.026811,            0.028715,            0.007403,            0.007129,            0.007129,            0.007129
                  89,            0.032033,            0.031559,           0.0043083,             0.74614,             0.64408,             0.71222,             0.42277,            0.028189,             0.02898,           0.0071117,            0.007096,            0.007096,            0.007096
                  90,            0.031598,            0.033172,            0.004564,             0.64249,             0.69482,             0.67667,             0.42392,            0.025794,            0.028822,            0.006965,            0.007063,            0.007063,            0.007063
                  91,            0.032412,            0.030411,           0.0041758,             0.73021,             0.67896,             0.70479,             0.45201,            0.026292,            0.028596,             0.00626,             0.00703,             0.00703,             0.00703
                  92,            0.031577,            0.029515,           0.0043228,             0.81811,             0.66369,             0.72175,             0.45172,            0.026395,             0.02839,           0.0066558,            0.006997,            0.006997,            0.006997
                  93,            0.030988,            0.031112,           0.0039467,             0.72608,             0.66552,             0.70385,             0.43097,            0.027531,            0.028618,           0.0070289,            0.006964,            0.006964,            0.006964
                  94,            0.031304,            0.031173,           0.0043389,               0.715,             0.65207,             0.68021,              0.4211,            0.026039,            0.028719,           0.0073438,            0.006931,            0.006931,            0.006931
                  95,            0.030542,            0.030622,           0.0042223,             0.76921,             0.63687,             0.69921,             0.42579,            0.026359,            0.028632,           0.0071204,            0.006898,            0.006898,            0.006898
                  96,            0.030372,            0.029043,           0.0033212,             0.72894,             0.67732,             0.69829,             0.43308,            0.026156,            0.029117,           0.0084573,            0.006865,            0.006865,            0.006865
                  97,            0.031135,            0.029757,           0.0034129,             0.79222,             0.62594,             0.73098,              0.4369,            0.026849,            0.028482,           0.0059595,            0.006832,            0.006832,            0.006832
                  98,             0.03128,            0.030977,           0.0038504,             0.78265,             0.63906,             0.71353,             0.44073,            0.025811,            0.028006,           0.0065473,            0.006799,            0.006799,            0.006799
                  99,            0.031467,            0.029578,           0.0040575,             0.86492,               0.596,             0.73008,             0.45458,            0.026119,            0.028468,           0.0062658,            0.006766,            0.006766,            0.006766
                 100,            0.030227,            0.029774,           0.0041326,             0.76714,             0.68301,             0.72522,             0.45443,            0.025726,            0.028471,           0.0058838,            0.006733,            0.006733,            0.006733
                 101,             0.03009,            0.030752,           0.0033072,             0.84178,             0.66952,             0.74772,              0.4614,            0.025722,            0.028204,           0.0062895,              0.0067,              0.0067,              0.0067
                 102,              0.0308,              0.0315,           0.0037023,             0.78452,             0.67317,             0.72027,             0.44208,            0.026612,            0.028782,           0.0071233,            0.006667,            0.006667,            0.006667
                 103,            0.029344,             0.02866,            0.004311,             0.81841,             0.65512,             0.74235,             0.46411,            0.025198,            0.028279,           0.0064365,            0.006634,            0.006634,            0.006634
                 104,            0.030696,            0.029763,           0.0035377,             0.74138,             0.66877,              0.7155,              0.4306,            0.026978,            0.028514,           0.0069785,            0.006601,            0.006601,            0.006601
                 105,            0.030261,            0.031491,           0.0036378,             0.65908,             0.68115,             0.70306,              0.4405,             0.02597,            0.028498,           0.0075512,            0.006568,            0.006568,            0.006568
                 106,            0.029662,            0.029009,           0.0034569,             0.82552,             0.63023,             0.70892,             0.43342,            0.026213,            0.028486,           0.0074926,            0.006535,            0.006535,            0.006535
                 107,            0.029882,            0.028099,           0.0037113,             0.80176,             0.65282,             0.71934,             0.45182,            0.025717,            0.028527,            0.006609,            0.006502,            0.006502,            0.006502
                 108,            0.029189,            0.030157,           0.0031987,             0.68104,             0.72145,             0.72569,              0.4537,            0.025963,            0.028511,           0.0064509,            0.006469,            0.006469,            0.006469
                 109,            0.029155,            0.029746,           0.0029079,             0.79384,             0.69695,             0.73504,             0.45438,            0.026433,            0.028778,           0.0058665,            0.006436,            0.006436,            0.006436
                 110,            0.029998,            0.029645,            0.003287,             0.72178,             0.68958,             0.72023,             0.44576,            0.025876,            0.028752,           0.0065589,            0.006403,            0.006403,            0.006403
                 111,            0.028946,            0.028341,           0.0034295,              0.8203,             0.71474,             0.75781,             0.47746,            0.025446,            0.028155,           0.0055985,             0.00637,             0.00637,             0.00637
                 112,            0.029239,            0.028319,           0.0034609,             0.83938,             0.70311,             0.77384,              0.4919,            0.025925,            0.028342,             0.00537,            0.006337,            0.006337,            0.006337
